ligand,receptor,species
GNAI2,ADRA2A,Human
GNAI2,ADRA2B,Human
GNAI2,AGTR2,Human
GNAI2,C5AR1,Human
GNAI2,CAV1,Human
GNAI2,CCR5,Human
GNAI2,CHRM1,Human
GNAI2,CNR1,Human
GNAI2,CXCR1,Human
GNAI2,CXCR2,Human
GNAI2,DRD2,Human
GNAI2,EDNRA,Human
GNAI2,EGFR,Human
GNAI2,F2R,Human
GNAI2,FPR1,Human
GNAI2,IGF1R,Human
GNAI2,LHCGR,Human
GNAI2,LPAR3,Human
GNAI2,MTNR1A,Human
GNAI2,MTNR1B,Human
GNAI2,OPRD1,Human
GNAI2,OPRM1,Human
GNAI2,P2RY12,Human
GNAI2,TBXA2R,Human
GNAI2,TSHR,Human
GNAS,ADORA1,Human
GNAS,ADRB3,Human
GNAS,AVPR2,Human
GNAS,CRHR1,Human
GNAS,GCGR,Human
GNAS,HTR6,Human
GNAS,LHCGR,Human
GNAS,PTGDR,Human
GNAS,PTGIR,Human
GNAS,TSHR,Human
GNAS,VIPR1,Human
GNB3,TGFBR1,Human
GNRH1,GNRHR,Human
GNRH2,GNRHR,Human
GPC3,CD81,Human
GPC3,IGF1R,Human
GPHA2,TSHR,Human
GPI,AMFR,Human
GRP,BRS3,Human
GRP,GRPR,Human
GRP,NMBR,Human
GSTP1,TRAF2,Human
GUCA2A,GUCY2C,Human
GUCA2B,GUCY2C,Human
GUCA2B,GUCY2D,Human
GZMB,CHRM3,Human
GZMB,IGF2R,Human
HAS2,CD44,Human
HAS2,HMMR,Human
HBEGF,CD44,Human
HBEGF,EGFR,Human
HBEGF,ERBB2,Human
HBEGF,ERBB4,Human
HCRT,HCRTR1,Human
HCRT,HCRTR2,Human
HCRT,NPFFR2,Human
HEBP1,FPR3,Human
HGF,CD44,Human
HGF,MET,Human
HGF,SDC1,Human
HGF,SDC2,Human
HLA-A,APLP2,Human
HLA-A,ERBB2,Human
HLA-A,KIR3DL1,Human
HLA-A,KIR3DL2,Human
HLA-A,LILRB1,Human
HLA-A,LILRB2,Human
HLA-B,CANX,Human
HLA-B,KIR3DL1,Human
HLA-B,KLRD1,Human
HLA-B,LILRB1,Human
HLA-B,LILRB2,Human
HLA-C,KIR2DL1,Human
HLA-C,KIR2DL3,Human
HLA-C,KIR2DS4,Human
HLA-C,LILRA3,Human
HLA-C,LILRB1,Human
HLA-C,LILRB2,Human
HLA-E,KLRC1,Human
HLA-E,KLRC2,Human
HLA-E,KLRD1,Human
HLA-G,KIR2DL4,Human
HLA-G,KLRC1,Human
HLA-G,KLRD1,Human
HLA-G,LILRB1,Human
HLA-G,LILRB2,Human
HMGB1,SDC1,Human
HMGB1,THBD,Human
HP,ITGAM,Human
HP,ITGB2,Human
HRAS,AGTR1,Human
HRAS,CAV1,Human
HRAS,GRIN2D,Human
HRAS,INSR,Human
HRAS,TLR2,Human
HRAS,TLR9,Human
HRG,FCGR1A,Human
HSP90AA1,CFTR,Human
HSP90AA1,EGFR,Human
HSP90AA1,FGFR3,Human
HSPG2,COL13A1,Human
HSPG2,ITGA2,Human
HSPG2,ITGB1,Human
HSPG2,PTPRS,Human
IAPP,CALCR,Human
IAPP,RAMP1,Human
IAPP,RAMP2,Human
ICAM1,EGFR,Human
ICAM1,IL2RA,Human
ICAM1,IL2RG,Human
ICAM1,ITGAL,Human
ICAM1,ITGAM,Human
ICAM1,ITGAX,Human
ICAM1,ITGB2,Human
ICAM2,ITGAL,Human
ICAM2,ITGAM,Human
ICAM2,ITGB2,Human
ICAM3,CLEC4M,Human
ICAM3,ITGAD,Human
ICAM3,ITGAL,Human
ICAM3,ITGB2,Human
ICAM4,ITGA2B,Human
ICAM4,ITGA4,Human
ICAM4,ITGAL,Human
ICAM4,ITGAM,Human
ICAM4,ITGAV,Human
ICAM4,ITGB1,Human
ICAM4,ITGB2,Human
ICAM4,ITGB3,Human
ICAM4,RHAG,Human
ICAM5,ITGAL,Human
ICAM5,ITGB2,Human
IFNA10,IFNAR1,Human
IFNA10,IFNAR2,Human
IFNA13,IFNAR1,Human
IFNA13,IFNAR2,Human
IFNA14,IFNAR1,Human
IFNA14,IFNAR2,Human
IFNA16,IFNAR1,Human
IFNA16,IFNAR2,Human
IFNA17,IFNAR1,Human
IFNA17,IFNAR2,Human
IFNA1,IFNAR1,Human
IFNA1,IFNAR2,Human
IFNA21,IFNAR1,Human
IFNA21,IFNAR2,Human
IFNA2,IFNAR1,Human
IFNA2,IFNAR2,Human
IFNA4,IFNAR1,Human
IFNA4,IFNAR2,Human
IFNA5,IFNAR1,Human
IFNA5,IFNAR2,Human
IFNA6,IFNAR1,Human
IFNA6,IFNAR2,Human
IFNA7,IFNAR1,Human
IFNA7,IFNAR2,Human
IFNA8,IFNAR1,Human
IFNA8,IFNAR2,Human
IFNB1,IFNAR1,Human
IFNB1,IFNAR2,Human
IFNG,IFNGR1,Human
IFNG,IFNGR2,Human
IFNL1,IFNLR1,Human
IFNL1,IL10RB,Human
IFNL2,IFNLR1,Human
IFNL2,IL10RB,Human
IFNL3,IFNLR1,Human
IFNL3,IL10RB,Human
IFNW1,IFNAR1,Human
IFNW1,IFNAR2,Human
IGF1,IGF1R,Human
IGF2,IGF1R,Human
IGF2,IGF2R,Human
IGF2,INSR,Human
IGFBP4,FZD8,Human
IGFBP4,LRP6,Human
IHH,BOC,Human
IHH,CDON,Human
IHH,HHIP,Human
IHH,PTCH1,Human
IHH,PTCH2,Human
IL10,IL10RA,Human
IL10,IL10RB,Human
IL11,IL11RA,Human
IL11,IL6ST,Human
IL12A,CD28,Human
IL12A,IL12RB1,Human
IL12A,IL12RB2,Human
IL12B,IL12RB1,Human
IL12B,IL12RB2,Human
IL12B,IL23R,Human
IL13,IL13RA1,Human
IL13,IL13RA2,Human
IL13,IL2RG,Human
IL13,IL4R,Human
IL15,IL15RA,Human
IL15,IL2RA,Human
IL15,IL2RB,Human
IL15,IL2RG,Human
IL16,CD4,Human
IL16,GRIN2C,Human
IL16,GRIN2D,Human
IL16,KCNA3,Human
IL16,KCND1,Human
IL16,KCND2,Human
IL16,KCNJ10,Human
IL16,KCNJ15,Human
IL16,KCNJ4,Human
IL17A,IL17RA,Human
IL17A,IL17RC,Human
IL17B,IL17RB,Human
IL17F,IL17RA,Human
IL18,IL18R1,Human
IL18,IL18RAP,Human
IL18,IL1RAPL1,Human
IL18,IL1RL2,Human
IL19,IL20RA,Human
IL19,IL20RB,Human
IL1A,IL1R1,Human
IL1A,IL1R2,Human
IL1A,IL1RAP,Human
IL1B,ADRB2,Human
IL1B,IL1R1,Human
IL1B,IL1R2,Human
IL1B,IL1RAP,Human
