ligand,receptor,species
PTHLH,VIPR1,Human
POMC,VIPR1,Human
RLN2,VIPR1,Human
CALCA,VIPR1,Human
ADM,VIPR1,Human
CGA,VIPR1,Human
GCG,VIPR1,Human
ADM2,VIPR1,Human
NPS,VIPR1,Human
FSHB,VIPR1,Human
CALM1,VIPR1,Human
CALCB,VIPR1,Human
RLN3,VIPR1,Human
GIP,VIPR1,Human
INSL3,VIPR1,Human
CALM1,CNGA2,Human
RLN2,RXFP3,Human
RTN4,RTN4RL1,Human
DKK3,KREMEN1,Human
BSG,SELE,Human
AFDN,EPHB3,Human
PPY,NPY2R,Human
CXCL12,CCR4,Human
IL6,F3,Human
B2M,KIR2DL1,Human
HLA-A,KIR2DL1,Human
BMP5,HJV,Human
RGMA,HJV,Human
BMP2,HJV,Human
IL22,IL21R,Human
CCN1,CAV1,Human
BMP8B,PLAUR,Human
FGF21,FGFR3,Human
FGF14,FGFR3,Human
FGF12,FGFR3,Human
LAMB3,COL17A1,Human
NPPA,NPR2,Human
TNF,TRADD,Human
B2M,KIR2DL3,Human
HLA-A,KIR2DL3,Human
CXCL9,KIR2DL3,Human
HLA-B,KIR2DL3,Human
CCN2,ERBB4,Human
GHRH,ADRB3,Human
AVP,ADRB3,Human
PTHLH,ADRB3,Human
POMC,ADRB3,Human
RLN2,ADRB3,Human
ADCYAP1,ADRB3,Human
ADM,ADRB3,Human
CGA,ADRB3,Human
GCG,ADRB3,Human
VIP,ADRB3,Human
ADM2,ADRB3,Human
NPS,ADRB3,Human
FSHB,ADRB3,Human
CALCB,ADRB3,Human
RLN3,ADRB3,Human
GIP,ADRB3,Human
INSL3,ADRB3,Human
IFNE,IFNAR2,Human
CALM1,KCNQ5,Human
VEGFA,RET,Human
TNF,FAS,Human
CALM1,FAS,Human
TNF,PTPRS,Human
PDYN,GRM7,Human
AGT,GRM7,Human
CXCL12,GRM7,Human
CCL5,GRM7,Human
NMS,GRM7,Human
APLN,GRM7,Human
NPY,GRM7,Human
CCL25,GRM7,Human
POMC,GRM7,Human
SAA1,GRM7,Human
PYY,GRM7,Human
CCL16,GRM7,Human
CXCL2,GRM7,Human
CXCL1,GRM7,Human
PPY,GRM7,Human
CXCL9,GRM7,Human
CCL20,GRM7,Human
CCL28,GRM7,Human
RLN3,GRM7,Human
CORT,GRM7,Human
ANXA1,GRM7,Human
SEMA4A,PLXNB1,Human
S100A10,TRPV6,Human
GSTO1,RYR1,Human
TNFSF13B,TFRC,Human
B2M,TFRC,Human
CXCL2,DPP4,Human
ADCYAP1,DPP4,Human
GCG,DPP4,Human
CXCL9,DPP4,Human
NPPB,DPP4,Human
CXCL12,DPP4,Human
NPY,DPP4,Human
VIP,DPP4,Human
ADA,DPP4,Human
MMP9,TLR9,Human
PPY,NPY1R,Human
B2M,CD247,Human
COL4A6,CD47,Human
LGALS9,CD47,Human
COL4A4,CD47,Human
COL4A1,CD47,Human
AFDN,NECTIN4,Human
AFDN,F11R,Human
CCL5,ACKR1,Human
CCL14,ACKR1,Human
CCL7,ACKR1,Human
CXCL1,ACKR1,Human
CCL8,ACKR1,Human
NPPC,NPR1,Human
AFDN,EPHA7,Human
CEACAM16,TECTB,Human
BMP8B,BMPR1A,Human
TNFSF13B,CD40,Human
NTF4,BEX3,Human
BDNF,BEX3,Human
CXCL12,SDC4,Human
LAMA1,SDC4,Human
EFNA4,EPHA10,Human
CCN1,TLR4,Human
HSPA1A,TLR4,Human
IRAK4,TLR4,Human
RIMS1,SLC18A3,Human
ALOX5AP,ALOX5,Human
ADIPOQ,CNR2,Human
CCL4,CNR2,Human
RGMA,BMPR2,Human
AFDN,EPHB2,Human
PSAP,AR,Human
HLA-C,NOTCH4,Human
GDNF,EDNRB,Human
ADCYAP1,GPR20,Human
ADM,GPR20,Human
POMC,GPR20,Human
CGA,GPR20,Human
GCG,GPR20,Human
RLN2,GPR20,Human
CALCB,GPR20,Human
AVP,GPR20,Human
RLN3,GPR20,Human
ADM2,GPR20,Human
PTHLH,GPR20,Human
NPS,GPR20,Human
FSHB,GPR20,Human
INSL3,GPR20,Human
SPTBN2,PTPRA,Human
NCAM1,PTPRA,Human
IRAK4,TLR7,Human
B2M,KLRC2,Human
B2M,KLRD1,Human
APOC1,VLDLR,Human
APOC4,VLDLR,Human
ALKAL2,ALK,Human
HLA-G,KIR3DL1,Human
B2M,KIR3DL1,Human
B2M,LILRB2,Human
INS,LILRB2,Human
CEACAM16,TECTA,Human
VEGFC,ITGB1,Human
LAMB2,ITGB1,Human
DSPP,ITGB1,Human
MDK,ITGB1,Human
COL4A4,ITGB1,Human
COL4A3,ITGB1,Human
ANGPT1,ITGB1,Human
VEGFA,ITGB1,Human
MDK,ITGA4,Human
IL6,HRH1,Human
CCN1,ITGB2,Human
SPON2,ITGB2,Human
TNF,TRPM2,Human
FGF1,FGFRL1,Human
VEGFA,SIRPA,Human
IFNE,ADGRV1,Human
LAMA2,ITGA6,Human
SLIT2,DCC,Human
IRAK4,TLR6,Human
FGF21,FGFR1,Human
FGF16,FGFR1,Human
FGF12,FGFR1,Human
PRG4,CD44,Human
FGF1,CD44,Human
RGMA,BMPR1B,Human
FGF21,FGFR2,Human
NCAM1,FGFR2,Human
FGF12,FGFR2,Human
CCL23,ACKR2,Human
RGMA,HFE,Human
RGMA,TFR2,Human
B2M,CD3G,Human
B2M,KLRC1,Human
PTHLH,TSHR,Human
ADCYAP1,TSHR,Human
CCL18,CCR3,Human
SPON2,ITGAM,Human
GDF10,ACVR1B,Human
ADCYAP1,GPR84,Human
CGA,GPR84,Human
VEGFA,ITGB3,Human
APELA,APLNR,Human
VEGFA,GRIN2B,Human
A2m,Lrp1,Mouse
Aanat,Mtnr1a,Mouse
Aanat,Mtnr1b,Mouse
Ace,Agtr2,Mouse
Ace,Bdkrb2,Mouse
Adam10,Axl,Mouse
Adam10,Epha3,Mouse
Adam12,Itga9,Mouse
Adam12,Itgb1,Mouse
Adam12,Sdc4,Mouse
Adam15,Itga5,Mouse
Adam15,Itga9,Mouse
Adam15,Itgav,Mouse
Adam15,Itgb1,Mouse
Adam15,Itgb3,Mouse
Adam17,Erbb4,Mouse
Adam17,Itga5,Mouse
Adam17,Itgb1,Mouse
Adam17,Notch1,Mouse
Adam2,Itga6,Mouse
Adam2,Itga9,Mouse
Adam2,Itgb1,Mouse
Adam2,Itgb7,Mouse
Adam23,Itga5,Mouse
Adam23,Itgb3,Mouse
Adam28,Itga4,Mouse
Adam9,Itga3,Mouse
Adam9,Itga6,Mouse
Adam9,Itgav,Mouse
Adam9,Itgb1,Mouse
Adam9,Itgb5,Mouse
Adcyap1,Adcyap1r1,Mouse
Adcyap1,Sctr,Mouse
Adcyap1,Vipr1,Mouse
Adcyap1,Vipr2,Mouse
Adipoq,Adipor1,Mouse
Adipoq,Adipor2,Mouse
Adm,Calcr,Mouse
Adm,Calcrl,Mouse
Adm,Ramp2,Mouse
Adm2,Calcr,Mouse
Adm2,Calcrl,Mouse
Adm2,Ramp1,Mouse
Agrn,Atp1a3,Mouse
Agrp,Sdc3,Mouse
Agt,Agtr1b,Mouse
Agt,Agtr2,Mouse
Ahsg,Insr,Mouse
Amh,Acvr1,Mouse
Amh,Amhr2,Mouse
Amh,Egfr,Mouse
Angpt1,Itga5,Mouse
Angpt1,Tek,Mouse
Angpt2,Tek,Mouse
Angpt4,Tek,Mouse
Angptl1,Tek,Mouse
Angptl3,Itga5,Mouse
Angptl3,Itgav,Mouse
Angptl3,Itgb3,Mouse
Anxa1,Dysf,Mouse
Anxa1,Egfr,Mouse
Anxa1,Fpr1,Mouse
Anxa1,Fpr2,Mouse
Anxa1,Fpr3,Mouse
Apln,Aplnr,Mouse
Apob,Ldlr,Mouse
Apob,Olr1,Mouse
Apod,Lepr,Mouse
Apoe,Ldlr,Mouse
Apoe,Lrp1,Mouse
Apoe,Lrp5,Mouse
Apoe,Vldlr,Mouse
App,Cav1,Mouse
App,Cd74,Mouse
App,Fpr2,Mouse
App,Gpc1,Mouse
App,Lrp1,Mouse
App,Ncstn,Mouse
Areg,Egfr,Mouse
Areg,Erbb3,Mouse
Arf1,Chrm3,Mouse
Arf1,Insr,Mouse
Arf1,Pld2,Mouse
Artn,Gfra1,Mouse
Artn,Gfra3,Mouse
Artn,Ret,Mouse
Avp,Avpr1a,Mouse
Avp,Avpr1b,Mouse
Avp,Avpr2,Mouse
Avp,Oxtr,Mouse
Azgp1,Itgav,Mouse
B2m,Gm11127,Mouse
B2m,Gm7030,Mouse
Bdnf,Ngfr,Mouse
Bdnf,Ntrk2,Mouse
Bdnf,Sort1,Mouse
Bgn,Tlr2,Mouse
Bgn,Tlr4,Mouse
Bmp10,Acvr2a,Mouse
Bmp10,Acvrl1,Mouse
Bmp10,Bmpr1a,Mouse
Bmp10,Bmpr1b,Mouse
Bmp10,Bmpr2,Mouse
Bmp15,Acvr2a,Mouse
Bmp15,Bmpr1a,Mouse
Bmp15,Bmpr1b,Mouse
Bmp15,Bmpr2,Mouse
Bmp2,Acvr1,Mouse
Bmp2,Acvr2a,Mouse
Bmp2,Acvr2b,Mouse
Bmp2,Bmpr1a,Mouse
Bmp2,Bmpr1b,Mouse
Bmp2,Bmpr2,Mouse
Bmp3,Acvr2b,Mouse
Bmp4,Bmpr1a,Mouse
Bmp4,Bmpr1b,Mouse
Bmp4,Bmpr2,Mouse
Bmp5,Bmpr1a,Mouse
Bmp6,Acvr1,Mouse
Bmp6,Acvr2a,Mouse
Bmp6,Bmpr1a,Mouse
Bmp6,Bmpr1b,Mouse
Bmp6,Bmpr2,Mouse
Bmp7,Acvr1,Mouse
Bmp7,Acvr2a,Mouse
Bmp7,Acvr2b,Mouse
Bmp7,Bmpr1a,Mouse
Bmp7,Bmpr1b,Mouse
Bmp7,Bmpr2,Mouse
Bst1,Cav1,Mouse
Btc,Egfr,Mouse
Btc,Erbb2,Mouse
Btc,Erbb3,Mouse
Btc,Erbb4,Mouse
Btla,Cd79a,Mouse
C1qb,Lrp1,Mouse
C1qtnf1,Avpr2,Mouse
C3,C3ar1,Mouse
C3,C5ar2,Mouse
C3,Cd19,Mouse
C3,Cd46,Mouse
C3,Itgam,Mouse
C3,Itgax,Mouse
C3,Itgb2,Mouse
C3,Lrp1,Mouse
C4a,C3ar1,Mouse
C4a,C5ar2,Mouse
C4a,Cd46,Mouse
C4b,C3ar1,Mouse
C4b,C5ar2,Mouse
C4b,Cd46,Mouse
Cadm1,Crtam,Mouse
Calca,Calcr,Mouse
Calca,Calcrl,Mouse
Calca,Ramp1,Mouse
Calca,Ramp2,Mouse
Calcb,Calcr,Mouse
Calcb,Calcrl,Mouse
Calcb,Ramp1,Mouse
Calr,Itga2b,Mouse
Calr,Itga3,Mouse
Calr,Itgav,Mouse
Calr,Lrp1,Mouse
Calr,Mtnr1a,Mouse
Calr,Tshr,Mouse
Camp,Fpr2,Mouse
Cck,Cckar,Mouse
Cck,Cckbr,Mouse
Ccl1,Ccr8,Mouse
Ccl11,Ackr2,Mouse
Ccl11,Ccr2,Mouse
Ccl11,Ccr3,Mouse
Ccl11,Ccr5,Mouse
Ccl11,Cxcr3,Mouse
Ccl17,Ccr4,Mouse
Ccl17,Ccr8,Mouse
Ccl19,Ackr2,Mouse
Ccl19,Ccr10,Mouse
Ccl19,Ccr7,Mouse
Ccl19,Cxcr3,Mouse
Ccl2,Ackr2,Mouse
Ccl2,Ccr1,Mouse
Ccl2,Ccr10,Mouse
Ccl2,Ccr2,Mouse
Ccl2,Ccr3,Mouse
Ccl2,Ccr4,Mouse
Ccl2,Ccr5,Mouse
Ccl20,Ccr6,Mouse
Ccl20,Cxcr3,Mouse
Ccl21a,Ackr2,Mouse
Ccl21a,Ccr7,Mouse
Ccl21a,Cxcr3,Mouse
Ccl21b,Ackr2,Mouse
Ccl21b,Ccr7,Mouse
Ccl21b,Cxcr3,Mouse
Ccl22,Ccr4,Mouse
Ccl24,Ccr2,Mouse
Ccl24,Ccr3,Mouse
Ccl25,Ackr2,Mouse
Ccl25,Ccr10,Mouse
Ccl25,Ccr9,Mouse
Ccl26,Ccr1,Mouse
Ccl26,Ccr2,Mouse
Ccl26,Ccr3,Mouse
Ccl27a,Ackr2,Mouse
Ccl27a,Ccr10,Mouse
Ccl27b,Ackr2,Mouse
Ccl27b,Ccr10,Mouse
Ccl28,Ackr2,Mouse
Ccl28,Ccr10,Mouse
Ccl28,Ccr3,Mouse
Ccl3,Ackr2,Mouse
Ccl3,Ccr1,Mouse
Ccl3,Ccr3,Mouse
Ccl3,Ccr4,Mouse
Ccl3,Ccr5,Mouse
Ccl4,Ackr2,Mouse
Ccl4,Ccr1,Mouse
Ccl4,Ccr3,Mouse
Ccl4,Ccr5,Mouse
Ccl4,Ccr8,Mouse
Ccl5,Ackr2,Mouse
Ccl5,Ccr1,Mouse
Ccl5,Ccr3,Mouse
Ccl5,Ccr4,Mouse
Ccl5,Ccr5,Mouse
Ccl5,Cxcr3,Mouse
Ccl5,Sdc1,Mouse
Ccl5,Sdc4,Mouse
Ccl7,Ackr2,Mouse
Ccl7,Ccr1,Mouse
Ccl7,Ccr10,Mouse
Ccl7,Ccr2,Mouse
Ccl7,Ccr3,Mouse
Ccl7,Ccr5,Mouse
Ccl7,Cxcr3,Mouse
Cd14,Itga4,Mouse
Cd14,Itgb1,Mouse
Cd274,Cd80,Mouse
Cd274,Pdcd1,Mouse
Cd40lg,Cd40,Mouse
Cd48,Cd244a,Mouse
Cd80,Cd28,Mouse
Cd80,Ctla4,Mouse
Cd86,Cd28,Mouse
Cd86,Ctla4,Mouse
Cdh1,Egfr,Mouse
Cdh1,Igf1r,Mouse
Cdh1,Itgae,Mouse
Cdh1,Itgb7,Mouse
Cdh1,Ptprf,Mouse
Cdh1,Ptprm,Mouse
Cel,Cxcr4,Mouse
Cfh,Itgam,Mouse
Cga,Fshr,Mouse
Cga,Lhcgr,Mouse
Cga,Tshr,Mouse
Cgn,F11r,Mouse
Chad,Itga2,Mouse
Chad,Itgb1,Mouse
Clcf1,Cntfr,Mouse
Clcf1,Crlf1,Mouse
Clcf1,Il6st,Mouse
Clcf1,Lifr,Mouse
Cntf,Cntfr,Mouse
Cntf,Il6ra,Mouse
Cntf,Il6st,Mouse
Cntf,Lifr,Mouse
Col14a1,Cd44,Mouse
Col18a1,Gpc1,Mouse
Col18a1,Gpc4,Mouse
Col18a1,Itga5,Mouse
Col18a1,Itgb1,Mouse
Col18a1,Kdr,Mouse
Col1a1,Cd36,Mouse
Col1a1,Cd44,Mouse
Col1a1,Itga11,Mouse
Col1a1,Itga2,Mouse
Col1a1,Itga5,Mouse
Col1a1,Itgb1,Mouse
Col1a1,Tmprss6,Mouse
Col1a2,Cd36,Mouse
Col1a2,Cd44,Mouse
Col1a2,Itga2,Mouse
Col1a2,Itga2b,Mouse
Col1a2,Itgb3,Mouse
Col2a1,Itga10,Mouse
Col2a1,Itga2,Mouse
Col2a1,Itga2b,Mouse
Col2a1,Itgb1,Mouse
Col2a1,Mag,Mouse
Col2a1,Tnfrsf10b,Mouse
Col3a1,Mag,Mouse
Col4a1,Itga1,Mouse
Col4a1,Itgav,Mouse
Col4a1,Itgb1,Mouse
Col4a1,Itgb8,Mouse
Col4a3,Cd47,Mouse
Col4a3,Itgav,Mouse
Col5a1,Sdc3,Mouse
Col5a3,Sdc3,Mouse
Col8a1,Itga1,Mouse
Col8a1,Itga2,Mouse
Col9a1,Mag,Mouse
Col9a2,Mag,Mouse
Col9a3,Mag,Mouse
Cort,Ghsr,Mouse
Cort,Sstr1,Mouse
Cort,Sstr2,Mouse
Cort,Sstr3,Mouse
Cort,Sstr5,Mouse
Cp,Slc40a1,Mouse
Crh,Crhr1,Mouse
Crh,Crhr2,Mouse
Crh,Mc2r,Mouse
Crp,Olr1,Mouse
Csf1,Csf1r,Mouse
Csf2,Csf1r,Mouse
Csf2,Csf2ra,Mouse
Csf2,Csf2rb,Mouse
Csf2,Csf2rb2,Mouse
Csf2,Csf3r,Mouse
Csf2,Il3ra,Mouse
Csf2,Sdc2,Mouse
Csf3,Csf1r,Mouse
Csf3,Csf3r,Mouse
Ctf1,Il6st,Mouse
Ctf1,Lifr,Mouse
Cthrc1,Fzd3,Mouse
Cthrc1,Fzd5,Mouse
Cthrc1,Fzd6,Mouse
Cx3cl1,Cx3cr1,Mouse
Cxcl1,Cxcr1,Mouse
Cxcl1,Cxcr2,Mouse
Cxcl1,Xcr1,Mouse
Cxcl10,Ccr3,Mouse
Cxcl10,Cxcr3,Mouse
Cxcl10,Sdc4,Mouse
Cxcl11,Ccr3,Mouse
Cxcl11,Cxcr3,Mouse
Cxcl12,Cd4,Mouse
Cxcl12,Cxcr3,Mouse
Cxcl12,Cxcr4,Mouse
Cxcl12,Itgb1,Mouse
Cxcl13,Ccr10,Mouse
Cxcl13,Cxcr3,Mouse
Cxcl13,Cxcr5,Mouse
Cxcl16,Cxcr6,Mouse
Cxcl2,Cxcr1,Mouse
Cxcl2,Cxcr2,Mouse
Cxcl5,Cxcr1,Mouse
Cxcl5,Cxcr2,Mouse
Cxcl9,Ccr3,Mouse
Cxcl9,Cxcr3,Mouse
Dcn,Egfr,Mouse
Dcn,Erbb4,Mouse
Dcn,Met,Mouse
Defb1,Ccr6,Mouse
Defb14,Ccr2,Mouse
Defb14,Ccr6,Mouse
Dhh,Boc,Mouse
Dhh,Cdon,Mouse
Dhh,Hhip,Mouse
Dhh,Ptch1,Mouse
Dhh,Ptch2,Mouse
Dkk1,Kremen1,Mouse
Dkk1,Kremen2,Mouse
Dkk1,Lrp5,Mouse
Dkk1,Lrp6,Mouse
Dkk2,Kremen2,Mouse
Dkk2,Lrp6,Mouse
Dlk1,Notch1,Mouse
Dlk2,Notch1,Mouse
Dll1,Notch1,Mouse
Dll1,Notch2,Mouse
Dll1,Notch3,Mouse
Dll4,Notch1,Mouse
Dll4,Notch2,Mouse
Dll4,Notch3,Mouse
Dll4,Notch4,Mouse
Ebi3,Il27ra,Mouse
Eda,Eda2r,Mouse
Eda,Edar,Mouse
Edil3,Itgav,Mouse
Edn1,Ednra,Mouse
Edn1,Ednrb,Mouse
Edn1,Kel,Mouse
Edn2,Ednra,Mouse
Edn2,Ednrb,Mouse
Edn2,Kel,Mouse
Edn3,Ednra,Mouse
Edn3,Ednrb,Mouse
Edn3,Kel,Mouse
Efemp1,Egfr,Mouse
Efemp2,Aqp1,Mouse
Efna1,Epha1,Mouse
Efna1,Epha2,Mouse
Efna1,Epha3,Mouse
Efna1,Epha4,Mouse
Efna1,Epha5,Mouse
Efna1,Epha6,Mouse
Efna1,Epha7,Mouse
Efna1,Epha8,Mouse
Efna1,Ephb1,Mouse
Efna2,Epha2,Mouse
Efna2,Epha3,Mouse
Efna2,Epha4,Mouse
Efna2,Epha5,Mouse
Efna2,Epha6,Mouse
Efna2,Epha7,Mouse
Efna2,Epha8,Mouse
Efna3,Epha1,Mouse
Efna3,Epha2,Mouse
Efna3,Epha3,Mouse
Efna3,Epha4,Mouse
Efna3,Epha5,Mouse
Efna3,Epha6,Mouse
Efna3,Epha7,Mouse
Efna3,Epha8,Mouse
Efna3,Ephb1,Mouse
Efna4,Epha2,Mouse
Efna4,Epha3,Mouse
Efna4,Epha4,Mouse
Efna4,Epha5,Mouse
Efna4,Epha6,Mouse
Efna4,Epha7,Mouse
Efna4,Epha8,Mouse
Efna5,Epha2,Mouse
Efna5,Epha3,Mouse
Efna5,Epha4,Mouse
Efna5,Epha5,Mouse
Efna5,Epha6,Mouse
Efna5,Epha7,Mouse
Efna5,Epha8,Mouse
Efna5,Ephb1,Mouse
Efna5,Ephb2,Mouse
Efna5,Ephb6,Mouse
Efnb1,Ephb1,Mouse
Efnb1,Ephb2,Mouse
Efnb1,Ephb3,Mouse
Efnb1,Ephb4,Mouse
Efnb1,Ephb6,Mouse
Efnb1,Erbb2,Mouse
Efnb2,Epha3,Mouse
Efnb2,Epha4,Mouse
Efnb2,Epha6,Mouse
Efnb2,Ephb1,Mouse
Efnb2,Ephb2,Mouse
Efnb2,Ephb3,Mouse
Efnb2,Ephb4,Mouse
Efnb2,Ephb6,Mouse
Efnb2,Grm1,Mouse
Efnb2,Grm5,Mouse
Efnb2,Pecam1,Mouse
Efnb3,Epha4,Mouse
Efnb3,Ephb2,Mouse
Efnb3,Ephb3,Mouse
Efnb3,Ephb4,Mouse
Egf,Egfr,Mouse
Egf,Erbb2,Mouse
Egf,Erbb3,Mouse
Egf,Erbb4,Mouse
Epgn,Egfr,Mouse
Epo,Epor,Mouse
Ereg,Egfr,Mouse
Ereg,Erbb4,Mouse
F11,Gp1ba,Mouse
F12,Gp1ba,Mouse
F13a1,Itga4,Mouse
F13a1,Itga9,Mouse
F13a1,Itgb1,Mouse
F2,F2r,Mouse
F2,F2rl1,Mouse
F2,F2rl2,Mouse
F2,F2rl3,Mouse
F2,Gp1ba,Mouse
F2,Gp9,Mouse
F2,Itga2b,Mouse
F2,Thbd,Mouse
F8,Ldlr,Mouse
F8,Lrp1,Mouse
F9,Lrp1,Mouse
Fasl,Fas,Mouse
Fat4,Dchs1,Mouse
Fbln1,Itgb1,Mouse
Fbln2,Itgb3,Mouse
Fbn1,Itga5,Mouse
Fbn1,Itgav,Mouse
Fbn1,Itgb1,Mouse
Fbn1,Itgb3,Mouse
Fcnb,Lrp1,Mouse
Fga,Cdh5,Mouse
Fga,Itga2b,Mouse
Fga,Itga5,Mouse
Fga,Itgam,Mouse
Fga,Itgav,Mouse
Fga,Itgax,Mouse
Fga,Itgb1,Mouse
Fga,Itgb2,Mouse
Fga,Itgb3,Mouse
Fgb,Itga2b,Mouse
Fgb,Itga5,Mouse
Fgb,Itgam,Mouse
Fgb,Itgav,Mouse
Fgb,Itgb1,Mouse
Fgb,Itgb2,Mouse
Fgf1,Fgfr1,Mouse
Fgf1,Fgfr2,Mouse
Fgf1,Fgfr3,Mouse
Fgf1,Fgfr4,Mouse
Fgf1,Nrp1,Mouse
Fgf10,Fgfr2,Mouse
Fgf13,Scn5a,Mouse
Fgf13,Scn8a,Mouse
Fgf15,Fgfr1,Mouse
Fgf15,Fgfr2,Mouse
Fgf15,Fgfr3,Mouse
Fgf15,Fgfr4,Mouse
Fgf15,Klb,Mouse
Fgf16,Fgfr2,Mouse
Fgf16,Fgfr3,Mouse
Fgf16,Fgfr4,Mouse
Fgf17,Fgfr1,Mouse
Fgf17,Fgfr2,Mouse
Fgf17,Fgfr3,Mouse
Fgf17,Fgfr4,Mouse
Fgf18,Fgfr1,Mouse
Fgf18,Fgfr2,Mouse
Fgf18,Fgfr3,Mouse
Fgf18,Fgfr4,Mouse
Fgf2,Cd44,Mouse
Fgf2,Fgfr1,Mouse
Fgf2,Fgfr2,Mouse
Fgf2,Fgfr3,Mouse
Fgf2,Fgfr4,Mouse
Fgf2,Fgfrl1,Mouse
Fgf2,Gpc4,Mouse
Fgf2,Nrp1,Mouse
Fgf2,Sdc1,Mouse
Fgf2,Sdc2,Mouse
Fgf2,Sdc3,Mouse
Fgf2,Sdc4,Mouse
Fgf20,Fgfr4,Mouse
Fgf21,Fgfr4,Mouse
Fgf22,Fgfr2,Mouse
Fgf23,Fgfr1,Mouse
Fgf23,Fgfr2,Mouse
Fgf23,Fgfr3,Mouse
Fgf23,Fgfr4,Mouse
Fgf3,Fgfr1,Mouse
Fgf3,Fgfr2,Mouse
Fgf3,Fgfr3,Mouse
Fgf3,Fgfr4,Mouse
Fgf4,Fgfr1,Mouse
Fgf4,Fgfr2,Mouse
Fgf4,Fgfr3,Mouse
Fgf4,Fgfr4,Mouse
Fgf4,Nrp1,Mouse
Fgf5,Fgfr1,Mouse
Fgf5,Fgfr2,Mouse
Fgf5,Fgfr3,Mouse
Fgf5,Fgfr4,Mouse
Fgf6,Fgfr1,Mouse
Fgf6,Fgfr2,Mouse
Fgf6,Fgfr3,Mouse
Fgf6,Fgfr4,Mouse
Fgf7,Fgfr1,Mouse
Fgf7,Fgfr2,Mouse
Fgf7,Fgfr3,Mouse
Fgf7,Fgfr4,Mouse
Fgf7,Nrp1,Mouse
Fgf8,Fgfr1,Mouse
Fgf8,Fgfr2,Mouse
Fgf8,Fgfr3,Mouse
Fgf8,Fgfr4,Mouse
Fgf9,Fgfr1,Mouse
Fgf9,Fgfr2,Mouse
Fgf9,Fgfr3,Mouse
Fgf9,Fgfr4,Mouse
Fgg,Itga2b,Mouse
Fgg,Itga5,Mouse
Fgg,Itgav,Mouse
Fgg,Itgb1,Mouse
Fgg,Itgb2,Mouse
Fgl1,Egfr,Mouse
Flt3l,Flt3,Mouse
Fn1,Cd44,Mouse
Fn1,Col13a1,Mouse
Fn1,Itga2,Mouse
Fn1,Itga2b,Mouse
Fn1,Itga3,Mouse
Fn1,Itga4,Mouse
Fn1,Itga5,Mouse
Fn1,Itga8,Mouse
Fn1,Itga9,Mouse
Fn1,Itgav,Mouse
Fn1,Itgb1,Mouse
Fn1,Itgb3,Mouse
Fn1,Itgb6,Mouse
Fn1,Itgb7,Mouse
Fn1,Itgb8,Mouse
Fn1,Mag,Mouse
Fn1,Nt5e,Mouse
Fn1,Plaur,Mouse
Fn1,Sdc2,Mouse
Fn1,Tmprss6,Mouse
Fn1,Tnfrsf11b,Mouse
Fn1,Tshr,Mouse
Fshb,Fshr,Mouse
Gas6,Axl,Mouse
Gast,Cckbr,Mouse
Gcg,Gcgr,Mouse
Gcg,Glp1r,Mouse
Gcg,Glp2r,Mouse
Gdf11,Acvr1b,Mouse
Gdf11,Acvr2a,Mouse
Gdf11,Acvr2b,Mouse
Gdf2,Acvr1,Mouse
Gdf2,Acvr2a,Mouse
Gdf2,Acvr2b,Mouse
Gdf2,Acvrl1,Mouse
Gdf2,Bmpr2,Mouse
Gdf5,Acvr1,Mouse
Gdf5,Acvr2a,Mouse
Gdf5,Acvr2b,Mouse
Gdf5,Bmpr1a,Mouse
Gdf5,Bmpr1b,Mouse
Gdf5,Bmpr2,Mouse
Gdf6,Bmpr1a,Mouse
Gdf6,Bmpr1b,Mouse
Gdf6,Bmpr2,Mouse
Gdf7,Acvr2a,Mouse
Gdf7,Bmpr1a,Mouse
Gdf7,Bmpr2,Mouse
Gdf9,Acvr2a,Mouse
Gdf9,Bmpr1a,Mouse
Gdf9,Bmpr1b,Mouse
Gdf9,Bmpr2,Mouse
Gdf9,Fxyd6,Mouse
Gdf9,Orai2,Mouse
Gdf9,Tgfbr1,Mouse
Gdnf,Gfra1,Mouse
Gdnf,Gfra2,Mouse
Gdnf,Ret,Mouse
Gh,Ghr,Mouse
Gh,Prlr,Mouse
Ghrh,Ghrhr,Mouse
Ghrh,Vipr1,Mouse
Ghrl,Ghrhr,Mouse
Ghrl,Ghsr,Mouse
Gip,Dpp4,Mouse
Gip,Gipr,Mouse
Gm10499,Aplp2,Mouse
Gm10499,Erbb2,Mouse
Gm10499,Kir3dl1,Mouse
Gm10499,Kir3dl2,Mouse
Gm10591,Ackr2,Mouse
Gm10591,Ccr7,Mouse
Gm10591,Cxcr3,Mouse
Gm13304,Ackr2,Mouse
Gm13304,Ccr7,Mouse
Gm13304,Cxcr3,Mouse
Gm13306,Ackr2,Mouse
Gm13306,Ccr10,Mouse
Gm21541,Ackr2,Mouse
Gm21541,Ccr7,Mouse
Gm21541,Cxcr3,Mouse
Gm8909,Aplp2,Mouse
Gm8909,Erbb2,Mouse
Gm8909,Kir3dl1,Mouse
Gm8909,Kir3dl2,Mouse
Gnai2,Adcy1,Mouse
Gnai2,Adora1,Mouse
Gnai2,Adra2a,Mouse
Gnai2,Adra2b,Mouse
Gnai2,Agtr2,Mouse
Gnai2,C5ar1,Mouse
Gnai2,Cav1,Mouse
Gnai2,Ccr5,Mouse
Gnai2,Chrm1,Mouse
Gnai2,Cnr1,Mouse
