receptor,tf,species
TNFRSF14,POLR2H,Human
TNFRSF14,POLR2J,Human
TNFRSF14,POLR2K,Human
TNFRSF14,POLR2F,Human
TNFRSF14,HNRNPK,Human
TNFRSF14,SNRPD1,Human
TNFRSF14,POLR2G,Human
TNFRSF14,POLR2L,Human
TNFRSF14,YBX1,Human
TNFRSF14,SRSF3,Human
TNFRSF14,U2AF1,Human
TNFRSF14,SRSF2,Human
TNFRSF14,ELAVL2,Human
TNFRSF14,SRSF9,Human
TNFRSF14,SRSF5,Human
TNFRSF14,SRSF6,Human
TNFRSF14,SNW1,Human
TNFRSF14,ALYREF,Human
TNFRSF14,SUGP1,Human
TNFRSF14,SRRM1,Human
TNFRSF14,CTNNBL1,Human
TNFRSF14,DHX38,Human
TNFRSF14,CDC5L,Human
TNFRSF14,HNRNPUL1,Human
TNFRSF14,WBP11,Human
TNFRSF14,UPF1,Human
TNFRSF14,SMG1,Human
CD40,TRAF6,Human
CD40,IKBKB,Human
CD40,NFKB1,Human
CD40,NFKB2,Human
CD40,RELA,Human
CD40,RELB,Human
CD40,IKBKG,Human
CD40,RBCK1,Human
CD40,EGFR,Human
CD40,SRSF1,Human
CD40,MAPK8,Human
CD40,MAPK9,Human
CD40,MAPK10,Human
CD40,XBP1,Human
CD40,STAT3,Human
CD40,STAT1,Human
CD40,STAT4,Human
CD40,PSMD9,Human
CD40,TNFSF12,Human
CD40,TNF,Human
CD40,TNFAIP3,Human
CD40,TAX1BP1,Human
CD40,TRIM25,Human
CD40,TLR4,Human
CD40,IRF7,Human
CD40,PTEN,Human
CD40,CERS2,Human
CD40,SRC,Human
CD40,AKT3,Human
CD40,AKT1,Human
CD40,AKT2,Human
CD40,ATM,Human
CD40,TP53,Human
CD40,MAPK14,Human
CD40,MAPK11,Human
CD40,MAPK13,Human
CD40,MAPK12,Human
CD40,REL,Human
CD40,NFKBIA,Human
CD40,NFKBIB,Human
CD40,STAT2,Human
CD40,STAT5B,Human
CD40,FOXO6,Human
CD40,FOXO1,Human
CD40,FOXO3,Human
CD40,FOXO4,Human
CD40,SOS1,Human
CD40,SOS2,Human
CD40,CDKN1A,Human
CD40,PRKCA,Human
CD40,CCND1,Human
CD40,PPARG,Human
CD40,PARP1,Human
CD40,RB1CC1,Human
CD40,STAT5A,Human
CD40,STAT6,Human
CD40,MDM2,Human
CD40,CTNNB1,Human
CD40,TBL1X,Human
CD40,GLI1,Human
CD40,GLI2,Human
CD40,GLI3,Human
CD40,SMAD2,Human
CD40,SMAD3,Human
CD40,WWTR1,Human
CD40,IRF3,Human
CD40,MAPK1,Human
CD40,MAPK3,Human
CD40,BCL3,Human
CD40,IRF4,Human
CD40,RORA,Human
CD40,RORC,Human
CD40,BIN1,Human
CD40,IRF1,Human
CD40,PER1,Human
CD40,PER3,Human
CD40,PER2,Human
CD40,HIF1A,Human
CD40,THRA,Human
CD40,PPARA,Human
CD40,FOS,Human
CD40,JUNB,Human
CD40,DAXX,Human
CD40,IL1B,Human
CD40,TLR2,Human
CD40,IFNB1,Human
CD40,NR1H3,Human
CD40,RXRA,Human
CD40,RB1,Human
CD40,RBL1,Human
CD40,RBL2,Human
CD40,PPP3R1,Human
CD40,IRF9,Human
CD40,IL6,Human
CD40,APC,Human
CD40,RFC1,Human
CD40,TRIM24,Human
CD40,BCR,Human
CD40,CUX1,Human
CD40,LRRFIP1,Human
CD40,CNTRL,Human
CD40,ZMYM2,Human
CD40,EGF,Human
CD40,VHL,Human
CD40,LIMD1,Human
CD40,EPAS1,Human
CD40,HIF3A,Human
CD40,WWP1,Human
CD40,HMGB1,Human
CD40,PDGFB,Human
CD40,ESR1,Human
CD40,PDGFA,Human
CD40,ESR2,Human
CD40,TRIM27,Human
CD40,MAF1,Human
CD40,ABL1,Human
CD40,RNPS1,Human
CD40,UPF2,Human
CD40,IL2,Human
CD40,TRIM21,Human
CD40,UBE2K,Human
CD40,RNF4,Human
